customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Aaliyah Carroll,1,4,31,1,4,4,144
Aaliyah Padberg,1,21,76,2,4,2,242
Aarav Hyatt,1,43,40,3,4,4,344
Aarav Kassulke,1,70,38,4,4,4,444
Aarav Kutch,1,72,26,4,4,4,444
Aaron Gutmann,1,53,77,3,4,2,342
Aaron Stracke,3,4,170,1,1,1,111
Abagail Weissnat,2,12,76,1,2,2,122
Abagail Windler PhD,1,46,55,3,4,3,343
Abb Armstrong,2,37,90,2,2,2,222
Abbey Hettinger,1,16,59,2,4,3,243
Abbey O'Reilly DVM,1,58,71,3,4,2,342
Abbie Mayer,2,68,98,4,2,2,422
Abbie Moore,1,5,69,1,4,2,142
Abbie Zemlak MD,1,77,37,4,4,4,444
Abbott Braun,3,72,196,4,1,1,411
Abby Kozey PhD,1,21,61,2,4,3,243
Abby Watsica,1,35,35,2,4,4,244
Abdiel Hoppe,2,12,104,1,2,2,122
Abdiel Konopelski,1,20,74,2,4,2,242
Abdul Ernser,1,19,63,2,4,3,243
Abdul Ferry,1,4,53,1,4,3,143
Abdullah Pfannerstill,1,39,76,3,4,2,342
Abel Hintz,4,29,206,2,1,1,211
Abie Greenfelder DVM,1,26,58,2,4,3,243
Abigail Deckow,1,70,58,4,4,3,443
Abigail Roberts,1,85,53,4,4,3,443
Abigale Leannon,1,47,80,3,4,2,342
Abigale McCullough,2,4,100,1,2,2,122
Abigayle Batz MD,1,44,71,3,4,2,342
Abigayle Reinger,3,34,134,2,1,1,211
Abner Bergnaum,1,78,67,4,4,3,443
Ace Ernser,5,74,202,4,1,1,411
Acey Altenwerth,1,76,28,4,4,4,444
Acey Altenwerth Jr.,1,89,64,4,4,3,443
Acey Brakus,1,67,53,4,4,3,443
Acey Konopelski PhD,1,11,54,1,4,3,143
Acey Strosin II,1,14,54,2,4,3,243
Acey Wisoky,1,90,20,4,4,4,444
Acie Buckridge,1,88,45,4,4,3,443
Acie Dickinson,2,47,92,3,2,2,322
Acy Aufderhar,1,84,65,4,4,3,443
Ada Bergnaum,1,12,48,1,4,3,143
Ada Hermann,2,57,101,3,2,2,322
Adah Turcotte,1,89,27,4,4,4,444
Adalberto Daniel,4,14,221,2,1,1,211
Adalberto White,1,18,57,2,4,3,243
Adaline Lehner,1,30,48,2,4,3,243
Adaline Rogahn,2,39,100,3,2,2,322
Adalyn McClure,2,46,104,3,2,2,322
Adams Romaguera III,1,4,68,1,4,2,142
Adams Windler,1,26,32,2,4,4,244
Adan Berge,1,46,59,3,4,3,343
Adan Denesik,1,45,33,3,4,4,344
Add Jacobson,5,5,248,1,1,1,111
