customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Aaron Bergman,3,415,887,4,4,4,444
Aaron Hawkins,7,12,1744,1,2,3,123
Aaron Smayling,7,88,3050,3,2,2,322
Adam Bellavance,8,54,7756,2,2,1,221
Adam Hart,10,34,3249,2,1,2,212
Adam Shillingsburg,9,28,3256,1,1,2,112
Adrian Barton,10,41,14474,2,1,1,211
Adrian Hane,7,60,1734,2,2,3,223
Adrian Shami,2,41,59,2,4,4,244
Aimee Bixby,5,41,968,2,4,4,244
Alan Barnes,8,25,1114,1,2,4,124
Alan Dominguez,8,29,6107,1,2,1,121
Alan Haines,4,55,1587,2,4,3,243
Alan Hwang,9,6,4806,1,1,1,111
Alan Schoenberger,5,22,4261,1,4,1,141
Alan Shonely,7,192,585,4,2,4,424
Alejandro Ballentine,9,166,914,3,1,4,314
Alejandro Grove,5,278,2584,4,4,2,442
Alejandro Savely,6,19,3214,1,3,2,132
Aleksandra Gannaway,4,118,368,3,4,4,344
Alex Avila,5,184,5564,4,4,1,441
Alex Grayson,5,8,662,1,4,4,144
Alex Russell,4,111,1056,3,4,4,344
Alice McCarthy,5,28,814,1,4,4,144
Allen Armold,9,19,1057,1,1,4,114
Allen Goldenen,5,114,201,3,4,4,344
Allen Rosenblatt,5,125,2236,3,4,3,343
Alyssa Crouse,3,232,926,4,4,4,444
Alyssa Tate,6,21,1171,1,3,3,133
Amy Cox,7,11,5528,1,2,1,121
Amy Hunt,5,230,2496,4,4,2,442
Andrew Allen,4,259,1791,4,4,3,443
Andrew Gjertsen,8,78,2356,3,2,2,322
Andrew Roberts,5,14,265,1,4,4,144
Andy Gerbode,4,845,1456,4,4,3,443
Andy Reiter,6,6,6609,1,3,1,131
Andy Yotov,4,14,497,1,4,4,144
Anemone Ratner,1,534,88,4,4,4,444
Angele Hood,4,21,738,1,4,4,144
Ann Blume,4,50,1515,2,4,3,243
Ann Chong,5,6,2538,1,4,2,142
Ann Steele,7,92,833,3,2,4,324
Anna Andreadi,6,55,5087,2,3,1,231
Anna Chung,5,282,658,4,4,4,444
Anna Gayman,7,97,3488,3,2,2,322
Anna HŠberlin,12,410,7888,4,1,1,411
Anne McFarland,8,162,5664,3,2,1,321
Anne Pryor,8,41,1638,2,2,3,223
Annie Thurman,10,13,3831,1,1,1,111
Annie Zypern,6,160,1623,3,3,3,333
Anthony Garverick,4,77,171,3,4,4,344
Anthony Jacobs,7,75,4868,2,2,1,221
Anthony Johnson,7,166,4502,3,2,1,321
Anthony O'Donnell,1,501,161,4,4,4,444
Anthony Rawles,8,58,4523,2,2,1,221
Anthony Witt,4,20,649,1,4,4,144
Arianne Irving,10,13,4376,1,1,1,111
Art Ferguson,7,41,2052,2,2,3,223
Art Foster,4,415,862,4,4,4,444
Arthur Gainer,10,96,4511,3,1,1,311
Arthur Prichep,10,98,3324,3,1,2,312
Arthur Wiediger,7,46,2853,2,2,2,222
Ashley Jarboe,7,85,1838,3,2,3,323
Astrea Jones,3,74,629,2,4,4,244
Barbara Fisher,7,91,600,3,2,4,324
Barry Blumstein,5,105,744,3,4,4,344
Barry Franz,4,39,1334,2,4,3,243
Barry Franzšsisch,8,74,2889,2,2,2,222
Barry Gonzalez,8,28,2799,1,2,2,122
Barry Pond,5,83,983,3,4,4,344
Barry Weirich,3,212,386,4,4,4,444
Bart Folk,3,25,274,1,4,4,144
Bart Pistole,12,17,2441,1,1,2,112
Bart Watters,8,121,4751,3,2,1,321
