order_date,order_id,customer,grand_total
9/7/11,CA-2011-100006,Dennis Kane,378
7/8/11,CA-2011-100090,Ed Braxton,699
3/14/11,CA-2011-100293,Neil Franzšsisch,91
1/29/11,CA-2011-100328,Jasper Cacioppo,4
4/8/11,CA-2011-100363,Jim Mitchum,21
5/25/11,CA-2011-100391,Barry Weirich,15
4/18/11,CA-2011-100678,Kunst Miller,697
12/16/11,CA-2011-100706,Laurel Elliston,129
11/24/11,CA-2011-100762,Nat Gilpin,509
3/26/11,CA-2011-100860,Cindy Stewart,19
10/19/11,CA-2011-100867,Eugene Hildebrand,322
3/28/11,CA-2011-100881,Daniel Raglin,302
6/2/11,CA-2011-100895,Stewart Visinsky,605
10/21/11,CA-2011-100916,Frank Hawley,789
11/19/11,CA-2011-100972,Dennis Bolton,166
12/2/11,CA-2011-101147,Matt Collins,2
12/9/11,CA-2011-101175,Dario Medina,101
8/27/11,CA-2011-101266,Michael Moore,13
12/22/11,CA-2011-101364,Tamara Willingham,297
12/7/11,CA-2011-101392,Ann Steele,269
12/26/11,CA-2011-101427,Andy Yotov,8
4/20/11,CA-2011-101462,Benjamin Patterson,60
9/12/11,CA-2011-101476,Shirley Daniels,70
11/28/11,CA-2011-101560,Chris Selesnick,542
12/15/11,CA-2011-101602,Mick Crebagga,804
3/31/11,CA-2011-101770,Karen Bern,2
11/17/11,CA-2011-101833,Frank Gastineau,34
10/28/11,CA-2011-101931,Todd Sumrall,1253
9/30/11,CA-2011-102008,Russell Applegate,49
10/4/11,CA-2011-102085,Joy Daniels,29
11/21/11,CA-2011-102274,Dave Hallsten,866
11/24/11,CA-2011-102295,Erica Hackney,121
12/29/11,CA-2011-102330,Arianne Irving,409
1/24/11,CA-2011-102645,Ionia McGrath,40
4/6/11,CA-2011-102652,Andy Yotov,200
11/1/11,CA-2011-102673,Ken Heidel,1044
9/9/11,CA-2011-102869,Logan Currie,233
4/5/11,CA-2011-102988,Greg Maxwell,4252
7/23/11,CA-2011-103058,Alejandro Grove,100
10/17/11,CA-2011-103086,Evan Bailliet,5
12/20/11,CA-2011-103100,Adrian Barton,1108
9/22/11,CA-2011-103191,Vivek Grady,332
11/9/11,CA-2011-103219,Benjamin Farhat,57
5/10/11,CA-2011-103310,Greg Matthias,1770
7/5/11,CA-2011-103317,Don Miller,243
8/26/11,CA-2011-103331,Karl Braun,31
1/16/11,CA-2011-103366,Erica Hackney,150
5/18/11,CA-2011-103373,Bruce Stewart,780
11/21/11,CA-2011-103401,Georgia Rosenberg,13
5/30/11,CA-2011-103429,Laurel Workman,765
10/10/11,CA-2011-103492,Craig Molinari,1489
9/9/11,CA-2011-103527,Chris Cortes,11
11/30/11,CA-2011-103590,Jeremy Lonsdale,62
8/25/11,CA-2011-103660,Mitch Webber,1008
9/12/11,CA-2011-103702,Art Foster,64
2/24/11,CA-2011-103744,Michael Grace,11
1/4/11,CA-2011-103800,Darren Powers,16
12/2/11,CA-2011-103807,Elizabeth Moffitt,21
5/11/11,CA-2011-103849,Paul Gonzalez,225
9/17/11,CA-2011-103940,Bradley Nguyen,261
3/19/11,CA-2011-103989,Matt Connell,591
8/25/11,CA-2011-104178,Janet Molinari,176
3/1/11,CA-2011-104269,Dave Brooks,458
6/27/11,CA-2011-104283,Liz MacKendrick,616
6/17/11,CA-2011-104402,Duane Benoit,66
6/2/11,CA-2011-104472,Christine Kargatis,133
3/7/11,CA-2011-104563,Craig Molinari,1144
12/30/11,CA-2011-104738,Stefania Perrino,610
12/8/11,CA-2011-104773,Thomas Boland,60
5/21/11,CA-2011-104780,Bradley Talbott,32
2/5/11,CA-2011-104808,Mark Haberlin,17
11/18/11,CA-2011-104829,John Grady,22
12/9/11,CA-2011-104976,Cyma Kinney,35
9/7/11,CA-2011-105165,Sam Zeldin,469
4/4/11,CA-2011-105172,Paul Knutson,19
11/28/11,CA-2011-105249,Duane Huffman,460
11/11/11,CA-2011-105270,Arthur Prichep,143
11/22/11,CA-2011-105340,Evan Henry,7
1/8/11,CA-2011-105417,Vivek Sundaresam,87
3/3/11,CA-2011-105648,Eva Jacobs,626
5/30/11,CA-2011-105872,James Galang,70
11/11/11,CA-2011-105893,Pete Kriz,666
11/24/11,CA-2011-105984,Muhammed Yedwab,1661
1/7/11,CA-2011-106054,Jack O'Briant,13
6/7/11,CA-2011-106229,Nick Radford,269
12/26/11,CA-2011-106264,Clytie Kelty,15
12/5/11,CA-2011-106376,Brendan Sweed,1281
